mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_samples,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.452269713083903,0.012244901844518189,0.4079601764678955,0.0043729249027859435,0.05,6,20,31,"{'learning_rate': 0.05, 'max_depth': 6, 'min_child_samples': 20, 'num_leaves': 31}",0.3335592054599232,0.3361449739447718,0.33875900349476334,0.33615439429981947,0.0021228191095959835,15
1.556363582611084,0.014636570027093185,0.4279189109802246,0.0011046052587369668,0.05,6,20,63,"{'learning_rate': 0.05, 'max_depth': 6, 'min_child_samples': 20, 'num_leaves': 63}",0.3361418311392132,0.3393726638491777,0.3424203846406127,0.3393116265430012,0.002563572075840393,11
1.3963073094685872,0.03194265712349439,0.40944814682006836,0.003491178290257829,0.05,6,50,31,"{'learning_rate': 0.05, 'max_depth': 6, 'min_child_samples': 50, 'num_leaves': 31}",0.33283161085723445,0.3392524743622083,0.3421140449128807,0.33806604337744117,0.0038812892497697253,13
1.4303470452626545,0.010412882842848364,0.423528512318929,0.0019768097684949204,0.05,6,50,63,"{'learning_rate': 0.05, 'max_depth': 6, 'min_child_samples': 50, 'num_leaves': 63}",0.3350660364631217,0.33584361727562057,0.3383446228148789,0.3364180921845404,0.001398760923631102,14
1.5032975673675537,0.012419170541979331,0.36186981201171875,0.006362703908975481,0.05,8,20,31,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 20, 'num_leaves': 31}",0.3353877188768886,0.3277287638840944,0.3427653903939631,0.3352939577183154,0.0061390350797425434,16
2.0512963136037192,0.007776400025645444,0.5483609040578207,0.002978667804395104,0.05,8,20,63,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 20, 'num_leaves': 63}",0.34144924396853993,0.3467991255696034,0.34540242739066224,0.34455026564293517,0.0022656776792777753,10
1.5375704765319824,0.021383799825869368,0.44377891222635907,0.0067444103041366605,0.05,8,50,31,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 50, 'num_leaves': 31}",0.3345621556617035,0.3380702713564263,0.3447869604233242,0.33913979581381803,0.004242214046700496,12
1.8318029244740803,0.013324843829323698,0.5471821626027426,0.0036312168397454425,0.05,8,50,63,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 50, 'num_leaves': 63}",0.3408568463205825,0.34423357666706783,0.3501251403502523,0.3450718544459675,0.003829913034787332,8
1.4169317881266277,0.012025100111164866,0.3871192932128906,0.008016142315046828,0.1,6,20,31,"{'learning_rate': 0.1, 'max_depth': 6, 'min_child_samples': 20, 'num_leaves': 31}",0.34818392242061463,0.34680732824844535,0.34861934420691076,0.3478701982919903,0.0007722985519837022,4
1.4979225794474285,0.013727541731219968,0.40822593371073407,0.006830661498809048,0.1,6,20,63,"{'learning_rate': 0.1, 'max_depth': 6, 'min_child_samples': 20, 'num_leaves': 63}",0.34967088238992466,0.35245126381643055,0.34564792134540395,0.3492566891839197,0.002792852091016644,3
1.3555765946706135,0.0032473792469895867,0.4085790316263835,0.007511512216101854,0.1,6,50,31,"{'learning_rate': 0.1, 'max_depth': 6, 'min_child_samples': 50, 'num_leaves': 31}",0.3455264368767493,0.34787536057736795,0.3490289785369489,0.34747692533035535,0.0014573977962805244,5
1.369825045267741,0.012430428557497899,0.4025760491689046,0.00431189064920452,0.1,6,50,63,"{'learning_rate': 0.1, 'max_depth': 6, 'min_child_samples': 50, 'num_leaves': 63}",0.3436418530270137,0.34994214436919324,0.3467351951283244,0.3467730641748438,0.0025722225535644945,6
1.4655160109202068,0.010851719192825158,0.34217047691345215,0.003145730662096124,0.1,8,20,31,"{'learning_rate': 0.1, 'max_depth': 8, 'min_child_samples': 20, 'num_leaves': 31}",0.3421686897067641,0.34171279097626295,0.3531733597958759,0.345684946826301,0.005298377582826108,7
2.02008064587911,0.010780332585550627,0.5330281257629395,0.005507218274680747,0.1,8,20,63,"{'learning_rate': 0.1, 'max_depth': 8, 'min_child_samples': 20, 'num_leaves': 63}",0.33960446063189026,0.3476310285944641,0.34764686985949256,0.344960786361949,0.003787499767329909,9
1.489400863647461,0.0023862092332679395,0.4368232885996501,0.000494817847636921,0.1,8,50,31,"{'learning_rate': 0.1, 'max_depth': 8, 'min_child_samples': 50, 'num_leaves': 31}",0.34918774905728406,0.34980060691691084,0.35518097686456634,0.35138977761292045,0.002692432916315289,1
1.7745145956675212,0.0066742008652517296,0.5269847710927328,0.00424725774531393,0.1,8,50,63,"{'learning_rate': 0.1, 'max_depth': 8, 'min_child_samples': 50, 'num_leaves': 63}",0.34974994467160697,0.34915670156222295,0.35063861058723084,0.3498484189403536,0.0006089808293664877,2
