Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,ROC-AUC (OvR)
LightGBM,0.4071666666666667,0.37426507977794093,0.3505492692017893,0.2607481551483732,0.2911401676880204,0.5407312685257168
XGBoost,0.403,0.3732127556273967,0.34323955264440453,0.23940056457330136,0.27198002660828624,0.5345854993015193
Random Forest,0.4008333333333333,0.34969565048233325,0.35092142475422766,0.2831861500582514,0.31027893741816504,0.5308785578558046
