项目,结果
数据规模,"30,000 × 13"
数据质量,"无缺失值, 无重复行"
特征工程,13 → 37 特征
风险分布,"Low=29.7%, Medium=30.2%, High=40.0%"
关键发现,单变量线性相关极弱 (r<0.01)
高危岗位占比,20.0% (Risk>80%)
低危岗位占比,19.5% (Risk<20%)
